,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2023-09-13T02:49:39.056,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200251_dmpostisrccd.fits,251,HD167060,collimator,holo4_003,1.3948632072663314,30.0,-0.0258848313242197,1.15,742.25,-0.6000000238418579,74.7750015258789,6.088200092315674,,,,,    ,,
1,1,2023-09-13T02:50:21.993,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200252_dmpostisrccd.fits,252,HD167060,collimator,holo4_003,1.3967164514831487,30.0,-0.0258848313242197,1.15,742.4000244140625,-0.6000000238418579,73.375,6.171599864959717,,,,,    ,,
2,2,2023-09-13T03:00:34.619,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200266_dmpostisrccd.fits,266,Feige110,collimator,holo4_003,1.2049729175905854,30.0,-0.0258848313242197,1.15,742.4000244140625,-0.637499988079071,77.38749694824219,6.421800136566162,,,,,    ,,
3,3,2023-09-13T03:01:17.817,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200267_dmpostisrccd.fits,267,Feige110,collimator,holo4_003,1.203372230020818,30.0,-0.0258848313242197,1.15,742.4000244140625,-0.6000000238418579,77.32499694824219,5.7546000480651855,,,,,    ,,
4,4,2023-09-13T03:10:24.382,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200281_dmpostisrccd.fits,281,HD009051,collimator,holo4_003,1.4884362903027553,30.0,-0.0258848313242197,1.15,742.4000244140625,-0.5249999761581421,73.75,6.421800136566162,,,,,    ,,
5,5,2023-09-13T03:11:07.307,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200282_dmpostisrccd.fits,282,HD009051,collimator,holo4_003,1.484044847878969,30.0,-0.0258848313242197,1.15,742.25,-0.550000011920929,73.4375,6.421800136566162,,,,,    ,,
6,6,2023-09-13T03:19:59.235,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200296_dmpostisrccd.fits,296,HD2811,collimator,holo4_003,1.1809369161096632,30.0,-0.0258848313242197,1.15,742.25,-0.4749999940395355,68.125,6.421800136566162,,,,,    ,,
7,7,2023-09-13T03:20:42.256,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200297_dmpostisrccd.fits,297,HD2811,collimator,holo4_003,1.1792897090115262,30.0,-0.0258848313242197,1.15,742.4000244140625,-0.4749999940395355,67.625,5.421000003814697,,,,,    ,,
8,8,2023-09-13T03:30:54.110,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200311_dmpostisrccd.fits,311,HD205905,collimator,holo4_003,1.0098097096003649,30.0,-0.0258848313242197,1.15,742.25,-0.5249999761581421,69.55000305175781,5.671199798583984,,,,,    ,,
9,9,2023-09-13T03:31:37.086,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200312_dmpostisrccd.fits,312,HD205905,collimator,holo4_003,1.0101732715643696,30.0,-0.0258848313242197,1.15,742.25,-0.550000011920929,68.57499694824219,6.505199909210205,,,,,    ,,
10,10,2023-09-13T03:46:02.801,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200326_dmpostisrccd.fits,326,HD14943,collimator,holo4_003,1.4766989777397141,30.0,-0.0258848313242197,1.15,742.25,-0.48750001192092896,60.962501525878906,6.421800136566162,,,,,    ,,
11,11,2023-09-13T03:46:45.778,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200327_dmpostisrccd.fits,327,HD14943,collimator,holo4_003,1.4735619981435195,30.0,-0.0258848313242197,1.15,742.25,-0.5,61.92499923706055,6.75540018081665,,,,,    ,,
12,12,2023-09-13T03:58:05.014,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200341_dmpostisrccd.fits,341,HD009051,collimator,holo4_003,1.2606966739668617,30.0,-0.0258848313242197,1.15,742.25,-0.550000011920929,64.2750015258789,6.588600158691406,,,,,    ,,
13,13,2023-09-13T03:58:47.961,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200342_dmpostisrccd.fits,342,HD009051,collimator,holo4_003,1.2581005949085626,30.0,-0.0258848313242197,1.15,742.25,-0.550000011920929,64.9000015258789,6.421800136566162,,,,,    ,,
14,14,2023-09-13T04:08:44.384,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200356_dmpostisrccd.fits,356,HD205905,collimator,holo4_003,1.040316533808584,30.0,-0.0258848313242197,1.15,742.0999755859375,-0.612500011920929,68.75,7.756199836730957,,,,,    ,,
15,15,2023-09-13T04:09:27.293,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200357_dmpostisrccd.fits,357,HD205905,collimator,holo4_003,1.0411203018587947,30.0,-0.0258848313242197,1.15,742.0999755859375,-0.6499999761581421,69.0250015258789,7.422599792480469,,,,,    ,,
16,16,2023-09-13T04:19:15.057,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200371_dmpostisrccd.fits,371,HD2811,collimator,holo4_003,1.0788528358811291,30.0,-0.0258848313242197,1.15,742.0999755859375,-0.699999988079071,70.0,6.75540018081665,,,,,    ,,
17,17,2023-09-13T04:19:58.093,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200372_dmpostisrccd.fits,372,HD2811,collimator,holo4_003,1.0779893902840352,30.0,-0.0258848313242197,1.15,742.0999755859375,-0.699999988079071,70.05000305175781,6.75540018081665,,,,,    ,,
18,18,2023-09-13T04:28:37.543,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200386_dmpostisrccd.fits,386,HD14943,collimator,holo4_003,1.3196403925330624,30.0,-0.0258848313242197,1.15,742.0999755859375,-0.675000011920929,71.4000015258789,6.421800136566162,,,,,    ,,
19,19,2023-09-13T04:29:20.455,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200387_dmpostisrccd.fits,387,HD14943,collimator,holo4_003,1.3174624485494482,30.0,-0.0258848313242197,1.15,742.0999755859375,-0.675000011920929,71.7249984741211,7.172399997711182,,,,,    ,,
20,20,2023-09-13T04:39:00.929,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200401_dmpostisrccd.fits,401,HD205905,collimator,holo4_003,1.0826631468640922,30.0,-0.0258848313242197,1.15,742.0999755859375,-0.699999988079071,74.6500015258789,6.9222002029418945,,,,,    ,,
21,21,2023-09-13T04:39:44.125,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200402_dmpostisrccd.fits,402,HD205905,collimator,holo4_003,1.0838885314335467,30.0,-0.0258848313242197,1.15,742.0999755859375,-0.699999988079071,75.2750015258789,5.7546000480651855,,,,,    ,,
22,22,2023-09-13T04:58:10.660,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200425_dmpostisrccd.fits,425,HD2811,collimator,holo4_003,1.0430400666399415,30.0,-0.05478766188025474,1.15,741.6500244140625,-0.75,77.125,7.589399814605713,,,,,    ,,
23,23,2023-09-13T04:58:53.654,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/dm_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230912,exposure_2023091200426_dmpostisrccd.fits,426,HD2811,collimator,holo4_003,1.042578542197806,30.0,-0.05478766188025474,1.15,741.6500244140625,-0.800000011920929,77.6500015258789,7.756199836730957,,,,,    ,,
